Item_ID;Quantity
830D0100;144
829D0100;108
787A0100;40
1320_0101;0
831A0600;40
1806_041;50
1806D0900;100
1806A0800;0
1312_0101;0
1806_5051;100
1806A0200;80
4774_0002;0
1567A0100;200
4775_0002;0
810A0400;60
786A0900;120
786A0600;28
786A0700;0
926_0102;0
3445A1800;0
3957A0600;0
4778_0102;0
3958A0600;120
1386A2200;0
6896A0100;0
1556A0200;20
1559A0200;30
1555A0200;20
60078_0900;0
1553A0200;15
1554A0200;0
341_0250;45
60091_011;60
4781A0100;0
342_0460;100
S4_9504612;0
S4_9504622;0
6774_01030;100
6754_0481;50
3470_085;25
6753_02011;45
S4_9704411;40
918_0102;50
920A0100;0
5450A0000;25
1394_0101;0
6864_0280;0
1568_0101;50
6884_2011;0
6885_2011;0
6886_2011;0
6887_2011;0
6898A0100;0
6724_0941;0
1964A2200;20
6882_2011;0
6883_2011;0
6888_2011;0
798_0184;10
962A0100;15
S4_9704300;0
1642A0400;0
70069_23;30
6724_0271;0
2434A2200;0
3470_028;0
