Item_ID;Quantity
830D0100;0
829D0100;72
787A0100;60
1320_0101;71
831A0600;100
1806_041;25
1806D0900;0
1806A0800;0
1312_0101;104
1806_5051;0
1806A0200;80
4774_0002;72
1567A0100;80
4775_0002;72
810A0400;40
786A0900;60
786A0600;0
786A0700;90
926_0102;0
3445A1800;0
3957A0600;17
4778_0102;40
3958A0600;60
1386A2200;0
6896A0100;0
1556A0200;0
1559A0200;45
1555A0200;15
60078_0900;50
1553A0200;30
1554A0200;15
341_0250;0
60091_011;60
4781A0100;0
342_0460;0
S4_9504612;0
S4_9504622;0
6774_01030;0
6754_0481;0
3470_085;25
6753_02011;50
S4_9704411;0
918_0102;0
920A0100;10
5450A0000;0
1394_0101;30
6864_0280;0
1568_0101;50
6884_2011;0
6885_2011;0
6886_2011;0
6887_2011;0
6898A0100;0
6724_0941;0
1964A2200;5
6882_2011;0
6883_2011;0
6888_2011;0
798_0184;20
962A0100;0
S4_9704300;24
1642A0400;0
70069_23;0
6724_0271;60
2434A2200;20
3470_028;30
