Item_ID;Quantity
830D0100;0
829D0100;108
787A0100;120
1320_0101;142
831A0600;80
1806_041;75
1806D0900;0
1806A0800;0
1312_0101;52
1806_5051;0
1806A0200;140
4774_0002;36
1567A0100;80
4775_0002;0
810A0400;100
786A0900;180
786A0600;28
786A0700;30
926_0102;0
3445A1800;0
3957A0600;197
4778_0102;40
3958A0600;0
1386A2200;0
6896A0100;0
1556A0200;40
1559A0200;15
1555A0200;0
60078_0900;0
1553A0200;15
1554A0200;30
341_0250;0
60091_011;0
4781A0100;40
342_0460;60
S4_9504612;0
S4_9504622;0
6774_01030;45
6754_0481;0
3470_085;0
6753_02011;0
S4_9704411;0
918_0102;0
920A0100;10
5450A0000;0
1394_0101;0
6864_0280;0
1568_0101;50
6884_2011;0
6885_2011;0
6886_2011;0
6887_2011;0
6898A0100;0
6724_0941;0
1964A2200;0
6882_2011;0
6883_2011;0
6888_2011;0
798_0184;0
962A0100;0
S4_9704300;24
1642A0400;0
70069_23;0
6724_0271;0
2434A2200;0
3470_028;0
