Item_ID;Quantity
830D0100;72
829D0100;35
787A0100;20
1320_0101;71
831A0600;160
1806_041;0
1806D0900;0
1806A0800;100
1312_0101;104
1806_5051;100
1806A0200;56
4774_0002;0
1567A0100;80
4775_0002;36
810A0400;0
786A0900;0
786A0600;56
786A0700;30
926_0102;0
3445A1800;0
3957A0600;114
4778_0102;0
3958A0600;30
1386A2200;56
6896A0100;0
1556A0200;40
1559A0200;40
1555A0200;38
60078_0900;47
1553A0200;30
1554A0200;30
341_0250;90
60091_011;60
4781A0100;0
342_0460;0
S4_9504612;0
S4_9504622;0
6774_01030;100
6754_0481;0
3470_085;30
6753_02011;100
S4_9704411;0
918_0102;0
920A0100;0
5450A0000;0
1394_0101;60
6864_0280;11
1568_0101;40
6884_2011;0
6885_2011;0
6886_2011;0
6887_2011;0
6898A0100;0
6724_0941;0
1964A2200;10
6882_2011;0
6883_2011;0
6888_2011;0
798_0184;20
962A0100;36
S4_9704300;0
1642A0400;80
70069_23;0
6724_0271;0
2434A2200;20
3470_028;0
